Number,Ticker,KoreanTicker
1,LNG,셰니어 에너지
2,CQP,셰니어 에너지 파트너스
3,IMO,임페리얼 오일
4,CBOE,Cboe 글로벌 마켓
5,SEB,씨보드
6,PHYS,Sprott Physical Gold Trust
7,BTG,B2골드
8,SIM,그루포 시멕 ADR
9,CEF,스프롯 피지컬 골드 트러스트 & 실버 트러스트
10,PSLV,Sprott Physical Silver Trust
11,GSAT,글로벌스타
12,NG,노바골드 리소시스
13,UTG,Reaves Utility Income Fund
14,PRK,파크 내셔널
15,NXE,넥스젠 에너지
16,EQX,이퀴녹스 골드
17,MAG,MAG 실버
18,EVV,이튼 밴스 리미티드 듀레이션 인컴 펀드
19,SENS,센서닉스 홀딩스
20,TMP,톰킨스 파이낸셜
21,NOG,노던 오일 & 가스
22,NHC,내셔널 헬스케어
23,SILV,실버크레스트 메탈스
24,SLI,스탠다드 리튬
25,CET,Central Securities Corp
26,CCF,체이스
27,FAX,애버딘 아시아-퍼시픽 인컴 펀드
28,EIM,Eaton Vance Municipal Bond Fund
29,CLM,코너스톤 스트래티직 밸류 펀드
30,ORLA,Orla Mining Ltd
31,DNN,데니슨 마인스
32,NGD,뉴 골드
33,UUUU,에너지 퓨얼스
34,SVM,실버코프 메탈스
35,MCF,콘탱고 오일 & 가스
36,MMX,매버릭스 메탈
37,GGN,GAMCO 글로벌 골드 내추럴 리소스 & 인컴 트러스트
38,XXII,22세기 그룹
39,ASXC,에이센서스 서지컬
40,VKI,Invesco Advantage Municipal Income Trust II
41,NEWP,뉴 퍼시픽 메탈스
42,EAD,Wells Fargo Income Opportunities Fund
43,STXS,스테레오택시스
44,FSP,프랭클린 스트리트 프로퍼티스
45,BTX,브루클린 이뮤노테라퓨틱스
46,ZOM,조메디카 파마슈티컬
47,UEC,우라늄 에너지
48,TGB,타세코 마인스
49,CRF,Cornerstone Total Return Fund Inc
50,KLR,칼레이라
51,AEF,애버딘 이머징마켓 이쿼티 인컴 펀드
52,LCTX,리니지 셀 테라퓨틱스
53,BHB,바 하버 뱅크셰어스
54,RVP,리트랙터블 테크놀로지스
55,SMTS,시에라 메탈스
56,GLO,클러프 글로벌 오퍼튜니티 펀드
57,CVM,셀 사이
58,REPX,라일리 익스플로레이션 퍼미안
59,ERC,Wells Fargo Multi-Sector Income Fund
60,ELLO,엘로메이 캐피털
61,UAVS,에이지이글 에어리얼 시스템
62,CYBN,싸이빈
63,EVI,EVI 인더스트리
64,LEU,센트러스 에너지 Class A
65,MTA,메탈라 로열티 & 스트리밍
66,ANVS,애노비스 바이오
67,PLM,폴리멧 마이닝
68,BRBS,블루 리지 뱅크셰어스
69,BRG,블루록 레지덴셜 그로스 리츠
70,RLGT,레이디언트 로지스틱스
71,FTSI,FTS 인터내셔널
72,INFU,인퓨시스템즈 홀딩스
73,NBH,Neuberger Berman Municipal Fund Inc
74,EVM,Eaton Vance California Municipal Bond Fund
75,GOED,1847 Goedeker Inc
76,AMPE,앰피오 파마슈티컬스
77,TMQ,트릴로지 메탈
78,FTF,Franklin Limited Duration Income Trust
79,CIX,콤프X 인터내셔널 Class A
80,NML,누버거 버먼 MLP 앤 에너지 인컴 펀드
81,FEN,퍼스트 트러스트 에너지 인컴 & 그로스 펀드
82,AXU,알렉스코 리소스
83,IBIO,아이바이오
84,DHY,크레딧 스위스 하이일드 본드 펀드
85,REI,링 에너지
86,GSS,골든 스타 리소시스
87,NHS,Neuberger Berman High Yield Strategies Fund
88,VHAQ,비비온 헬스 애퀴지션
89,EMX,EMX 로얄티
90,ESBA,엠파이어 스테이트 리얼티 OP
