Number,Ticker,KoreanTicker
1,AAPL,애플
2,MSFT,마이크로소프트
3,AMZN,아마존 닷컴
4,FB,페이스북
5,GOOGL,알파벳 Class A
6,GOOG,알파벳 Class C
7,TSLA,테슬라
8,NVDA,엔비디아
9,PYPL,페이팔 홀딩스
10,ASML,ASML 홀딩 NV ADR
11,ADBE,어도비 시스템즈
12,CMCSA,컴캐스트 Class A
13,CSCO,시스코 시스템즈
14,NFLX,넷플릭스
15,INTC,인텔
16,PEP,펩시코
17,AVGO,브로드컴
18,COST,코스트코 홀세일
19,TMUS,T-모바일 US
20,AZN,아스트라제네카 ADR
21,TXN,텍사스 인스트루먼트
22,QCOM,퀄컴
23,HON,허니웰 인터내셔널
24,MRNA,모더나
25,INTU,인튜이트
26,CHTR,차터 커뮤니케이션
27,SBUX,스타벅스
28,AMGN,암젠
29,AMD,어드벤스 마이크로 디바이스
30,SNY,사노피 SA ADR
31,ISRG,인튜이티브 서지컬
32,AMAT,어플라이드 머티어리얼즈
33,JD,JD닷컴 ADR
34,PDD,핀듀오듀오 ADR
35,ZM,줌 비디오 커뮤니케이션 Class A
36,ABNB,에어비앤비 Class A
37,MELI,메르카도리브레
38,ADP,오토매틱 데이터 프로세싱
39,BNTX,바이오엔테크 SE ADR
40,BKNG,부킹 홀딩스
41,GILD,길리어드 사이언스
42,MDLZ,몬덜리즈 인터내셔널 Class A
43,TEAM,아틀라시안
44,LRCX,램 리서치
45,MU,마이크론 테크놀로지
46,CSX,CSX Corp
47,ILMN,일루미나
48,CME,CME 그룹 Class A
49,FISV,파이서브
50,ADSK,오토데스크
51,EQIX,이퀴닉스
52,ATVI,액티비전 블리자드
53,REGN,리제네론 파마슈티컬스
54,ADI,애널로그 디바이시스
55,NTES,넷이즈 ADR
56,WDAY,워크데이 Class A
57,DOCU,도큐사인
58,IDXX,아이덱스 래버러터리스
59,NXPI,NXP 세미콘덕터
60,BIDU,바이두 ADR Class A
61,ALGN,얼라인 테크놀로지
62,CRWD,크라우드 스트라이크 홀딩스 Class A
63,COIN,코인베이스 글로벌 Class A
64,LULU,룰루레몬 애슬레티카
65,MNST,몬스터 베버리지
66,BIIB,바이오젠
67,VRTX,버텍스 파마슈티컬
68,KLAC,KLA Corp
69,FTNT,포티넷
70,ROKU,로쿠
71,MRVL,마벨 테크놀로지 그룹
72,TROW,T-로우 프라이스
73,KDP,큐리그 닥터 페퍼
74,DXCM,덱스컴
75,VOD,보다폰 그룹 ADR
76,EXC,엑셀론
77,KHC,크래프트 하인즈
78,ROST,로스 스토어스
79,EBAY,이베이
80,SNPS,시놉시스
81,AEP,아메리칸 일렉트릭 파워 컴퍼니
82,MAR,메리어트 인터내셔널
83,WBA,월그린스 부츠 얼라이언스
84,CDNS,케이던스 디자인 시스템
85,PAYX,페이첵스
86,MCHP,마이크로칩 테크놀러지
87,ORLY,오레일리 오토모티브
88,TTD,트레이드 데스크 Class A
89,DDOG,데이터도그 Class A
90,CTSH,코그니전트 테크놀로지 솔루션
91,HOOD,로빈후드 마켓츠 Class A
92,CTAS,신타스
93,EA,일렉트로닉 아츠
94,LCID,루시드 그룹
95,MTCH,매치 그룹
96,SBAC,SBA 커뮤니케이션스 Class A
97,XEL,엑셀 에너지
98,XLNX,자일링스
99,ERIC,텔레폰악티에볼라예트 LM 에릭슨 ADR Class B
100,TSCAP,트리스테이트 캐피털 홀딩스 DEP SHS 6-75%
101,PTON,펠로튼 인터랙티브 Class A
102,SIVB,SVB 파이낸셜 그룹
103,CPRT,코파트
104,ZS,지스케일러
105,CSGP,코스타 그룹
106,ODFL,올드 도미니언 프라이트 라인
107,GRMN,가민
108,FAST,패스널
109,NDAQ,나스닥
110,ANSS,앤시스
111,OKTA,옥타 Class A
112,LI,리 오토 ADR
113,BILI,빌리빌리 ADR
114,VRSK,베리스크 애널리틱스
115,GMAB,젠맵 A/S ADR
116,ZBRA,지브라 테크놀로지스 Class A
117,SWKS,스카이웍스 솔루션스
118,WLTW,윌리스 타워스 왓슨 PLC
119,PCAR,파카
120,SGEN,시애틀 제네틱스
