Number,Ticker,KoreanTicker
1,TSM,타이완 반도체 매뉴팩처링 ADR
2,BABA,알리바바 그룹 홀딩스 ADR
3,V,비자 Class A
4,JPM,제이피모간체이스
5,JNJ,존슨앤드존슨
6,WMT,월마트
7,BRK-B,버크셔 해서웨이 Class B
8,UNH,유나이티드헬스 그룹
9,MA,마스타카드
10,HD,홈디포
11,BAC,뱅크오브아메리카
12,PG,프록터 & 갬블
13,DIS,월트 디즈니
14,BRK-A,버크셔 해서웨이 Class A
15,NKE,나이키 Class B
16,PFE,화이자
17,TM,토요타자동차 ADR
18,LLY,일라이 릴리
19,ORCL,오라클
20,KO,코카콜라
21,XOM,엑슨 모빌
22,VZ,버라이존 커뮤니케이션스
23,CRM,세일즈포스닷컴
24,DHR,다나허
25,ABT,애보트 래버러토리
26,ACN,액센추어 PLC Class A
27,TMO,써모 피셔 사이언티픽
28,WFC,웰스파고
29,NVS,노바티스 AG ADR
30,ABBV,애브비
31,T,AT&T
32,CVX,셰브론
33,MRK,머크
34,MS,모간스탠리
35,SHOP,쇼피파이 Class A
36,MCD,맥도날드
37,NVO,노보 노디스크 ADR
38,SAP,SAP SE ADR
39,MDT,메드트로닉
40,UPS,유나이티드 파셀 서비스 Class B
41,NEE,넥스트에라 에너지
42,SE,씨 ADR Class A
43,LIN,린드
44,PM,필립 모리스 인터내셔널
45,C,씨티그룹
46,RY,로열 뱅크 오브 캐나다
47,BMY,브리스톨-마이어스 스큅
48,UNP,유니온 퍼시픽
49,UL,유니레버 ADR
50,SCHW,찰스 슈왑
51,GS,골드만삭스
52,BLK,블랙록
53,BA,보잉
54,HDB,HDFC 은행 ADR
55,BX,블랙스톤 그룹
56,LOW,로우스 컴퍼니
57,AXP,아메리칸 엑스프레스
58,RTX,레이테온 테크놀로지스
59,TGT,타겟
60,IBM,인터내셔날 비지니스 머신
61,AMT,아메리칸 타워
62,TD,토론토 도미니언 은행
63,SONY,소니 그룹 ADR
64,SQ,스퀘어 Class A
65,CAT,캐터필러
66,DE,디어
67,TTE,토탈에너지스 SE ADR
68,SNAP,스냅
69,EL,에스티 로더 Class A
70,GE,제너럴 일렉트릭
71,MMM,쓰리엠
72,HSBC,HSBC 홀딩스 ADR
73,DEO,디아지오 ADR
74,NOW,서비스나우
75,BHP,BHP 그룹
76,CVS,CVS 헬스
77,SPGI,S&P 글로벌
78,VALE,발레 SA ADR
79,GSK,글락소 스미스클라인 ADR
80,BUD,안호이저부시 인베브 SA ADR
81,LMT,록히드 마틴
82,INFY,인포시스 ADR
83,RIO,리오 틴토 ADR
84,SYK,스트라이커
85,PLD,프로로지스
86,ZTS,조에티스 Class A
87,ANTM,앤섬
88,UN,유니레버 NV ADR
89,BAM,브룩필드 애셋 매니지먼트
90,MO,알트리아그룹
91,USB,U-S- 뱅코프
92,BP,BP PLC ADR
93,TJX,TJX 컴퍼니스
94,BTI,브리티쉬 아메리칸 토바코 ADR
95,SNOW,스노우플레이크 Class A
96,RDS-A,로얄 더치 쉘 ADR Class A
97,CCI,크라운 캐슬 인터내셔널
98,FIS,피델리티 내셔널 인포메이션 서비스
99,PNC,PNC 파이낸셜 서비스
100,DUK,듀크 에너지
101,UBER,우버 테크놀로지스
102,SHW,셔윈-윌리엄즈
103,CB,처브
104,ENB,엔브리지
105,GM,제너럴 모터스
106,COF,캐피털 원 파이낸셜
107,BNS,뱅크 오브 노바스코샤
108,TFC,트루이스트 파이낸셜
109,HCA,HCA 헬스케어
110,DELL,델테크놀로지 Class C
111,CNI,커네디언 내셔널 레일웨이
112,MMC,마쉬 앤 맥레넌 컴퍼니
113,COP,코노코필립스
114,ABB,Abb Ltd ADR
115,RDS-B,로얄 더치 쉘 ADR Class B
116,FDX,페덱스
117,ITW,일리노이 툴 웍스
118,MUFG,미쓰비시 UFJ 파이낸셜 그룹 ADR
119,CI,시그나
120,BDX,벡톤 디킨슨
121,MCO,무디스
122,EW,에드워즈 라이프사이언시스
